customer_number,route_number,account_name,address,city,state,zip_code,service_days,avg_wkly_volume,latitude,longitude,uniform_customer
257246,2502-05,COR Municipal Utilities Rdg,"20055 Viking Way, Bldg 3",Redding,CA,960038295,F,$8 ,40.578331,-122.312401,0
257360,2502-05,COR Fleet Shop City Redding,20055 Viking Way,Redding,CA,960038295,F,$159 ,40.578331,-122.312401,176
257250,2502-05,COR Redding Power Plant,17120 Clear Creek Rd,Redding,CA,960015107,T,$27 ,40.503159,-122.422958,11
251546,2502-05,Shasta Lake Law Enforce,4448 Red Bluff Street,Shasta Lake,CA,96019,R,$52 ,40.683894,-122.366326,0
170870,2502-05,Antler's Resort - Seasonal,20679 Antlers Rd,Lakehead,CA,96051,R,$510 ,40.892093,-122.376253,0
257411,2502-05,Commercial Landscapeserv,2780 Tarmac Rd,Redding,CA,96003-9307,F,$70 ,40.571041,-122.318581,60
271765,2502-05,COR Electric Utility,"20055 Viking Way, Bldg 2",Redding,CA,960038295,F,$58 ,40.578339,-122.312401,12
299393,2502-05,EZ Auto Care,2778 Tarmac Road,Redding,CA,96003,F,$40 ,40.5714,-122.31903,10
314459,2502-05,Crafco,2300 Barney Road,Anderson,CA,96007,W,$57 ,40.44302,-122.29134,31
316033,2502-05,White Rock Trucking Inc.,7065 Aviator Lane,Redding,CA,96002,W,$125 ,40.49359,-122.28645,30
325439,2502-05,Happy Valley Fire Center, Canyon Road,Redding,CA,96001,T,$0 ,40.505663,-122.379485,5
170657,2502-05,Columbia School Kitchen ,10142 Old Oregon Trl,Redding,CA,96003-7995,F,$36 ,40.582458,-122.307338,0
247367,2502-05,Shasta Lake - D/S,4777 Main Street,Shasta Lake,CA,96019,R,$0 ,40.68207,-122.360256,0
257402,2502-05,COR Fire Dept Headquarterdg,777 Cypress Ave,Redding,CA,960012718,M,$24 ,40.57415,-122.379921,0
274314,2502-05,Shasta Lake Pizza Factory,4432 Shasta Dam Blvd,Shasta Lake,CA,960199418,R,$40 ,40.68055,-122.36596,0
300204,2502-05,Coburn's Asphalt,6100 State Highway 273,Anderson,CA,96007,T,$48 ,40.465532,-122.324534,30
307256,2502-05,Cascade Comfort,5203 Industrial Way,Anderson,CA,96007,T,$32 ,40.46701,-122.32067,36
309166,2502-05,Mulligans Bar & Grill,6241 Churn Creek Road,Redding,CA,96002,W,$42 ,40.48184,-122.30251,0
317099,2502-05,Mountain Lakes High School,17752  Shasta Dam Boulevard,Shasta Lake,CA,96019,R,$48 ,40.68005,-122.35075,0
317168,2502-05,Freightliner Northwest,4991 Caterpillar Road,Redding,CA,96003,R,$344 ,40.6251,-122.37565,157
317564,2502-05,Pizza Factory,536 North Market Street,Redding,CA,96003,M,$37 ,40.59805,-122.38579,0
248056,2502-05,Clayton's Towing,6100 CA-273,Anderson,CA,96007,W,$13 ,40.46566,-122.323807,8
237369,2502-05,Institute Of Tech,1755 Hilltop Dr,Redding,CA,96002-0250,M,$54 ,40.58141,-122.357773,0
171138,2502-05,Lanny's Engines,10085 Limerick Ln,Redding,CA,96003-7979,F,$33 ,40.580988,-122.316044,3
257334,2502-05,COR Fire Station #6 Rdg,4201 Oasis Rd,Redding,CA,96003,F,$50 ,40.633499,-122.39077,0
264236,2502-05,Anderson Automotive,2966 Oak St,Anderson,CA,960073588,W,$144 ,40.45319,-122.296562,80
267518,2502-05,Institute Of Tech - D/S,1755 Hilltop Dr,Redding,CA,960020250,M,$0 ,40.581322,-122.35778,0
300994,2502-05,SC- Mental Heath DS,2640 Breslauer Way,Redding,CA,96001,T,$0 ,40.54979,-122.38167,0
311254,2502-05,RSM,5934 Brenda Lane,Anderson,CA,96007,W,$23 ,40.45962,-122.26753,15
317108,2502-05,Buckeye School of Arts - Cafeteria,3407 Hiatt Drive,Redding,CA,96003,F,$20 ,40.63004,-122.40314,0
317516,2502-05,Rental Guys,4055 Eastside Road,Redding,CA,96001,M,$120 ,40.55722,-122.38724,20
170640,2502-05,Phil's Propeller,3037 Twin View Blvd,Shasta Lake,CA,96019-2324,R,$34 ,40.65871,-122.357323,4
247560,2502-05,Shasta Lake Public Works,4332 Vallecito Street,Shasta Lake,CA,96019,R,$11 ,40.673196,-122.36745,0
257332,2502-05,COR Civic Center,777 Cypress Ave,Redding,CA,960012718,M,$21 ,40.57415,-122.379921,0
214607,2502-05,Powerdraulics,4828 Mountain Lakes Blvd,Redding,CA,96003-1453,M,$63 ,40.631902,-122.379022,0
276430,2502-05,SNL Group ,9818 Holton Way,Redding,CA,96003,F,$59 ,40.5722,-122.32036,11
295409,2502-05,BARTEL'S,2311 North Street,Anderson,CA,96007,W,$12 ,40.45381,-122.29713,0
306381,2502-05,Absolute Lash and Skin,2775 Ventura St,Anderson,CA,96007,T,$26 ,40.5826,-122.39046,0
306489,2502-05,Jeff's California Cattle Co.,400 East Cypress Avenue,Redding,CA,96002,M,$48 ,40.57128,-122.36467,0
313697,2502-05,Absolute Machine,5020 Mountain Lakes Boulevard,Redding,CA,96003,F,$31 ,40.62944,-122.37443,0
317107,2502-05,Central Valley High School - Cafeteria,4066 La Mesa Avenue,Shasta Lake,CA,96019,R,$21 ,40.67751,-122.37391,0
